portfolio_name,market,ablation,reference_strategy,cumulative_return,delta_cumulative_return,sharpe,delta_sharpe,information_ratio,delta_information_ratio,model_score,delta_model_score
cn_consumption_financial_core,cn,equal_weight,smart_policy_oos_guard,0.20010356716316147,0.047906648856183676,0.6320657083410323,0.14102996876067075,-1.026654354472067,0.15269637955387738,53.5,2.200000000000003
cn_consumption_financial_core,cn,inverse_volatility,smart_policy_oos_guard,0.20500032970034887,0.05280341139337108,0.6452903521103422,0.15425461252998074,-1.00913513932819,0.17021559469775438,53.7,2.4000000000000057
cn_consumption_financial_core,cn,mean_variance,smart_policy_oos_guard,0.11568491581992979,-0.036512002487048,0.375722377638801,-0.1153133619415605,-1.2184450412516818,-0.03909430722573748,49.9,-1.3999999999999986
cn_consumption_financial_core,cn,raw_black_litterman,smart_policy_oos_guard,0.11134238593693091,-0.04085453237004688,0.36701903050053175,-0.12401670907982976,-1.293691911160264,-0.11434117713431968,49.5,-1.7999999999999972
cn_consumption_financial_core,cn,smart_policy,smart_policy_oos_guard,0.11400040278977386,-0.03819651551720393,0.37518492534716374,-0.11585081423319776,-1.283072530058171,-0.10372179603222653,49.6,-1.6999999999999957
cn_consumption_financial_core,cn,smart_policy_oos_guard,smart_policy_oos_guard,0.1521969183069778,0.0,0.4910357395803615,0.0,-1.1793507340259444,0.0,51.3,0.0
cn_new_energy_healthcare,cn,equal_weight,smart_policy_oos_guard,0.04241451055158918,-0.02060839236680545,0.13791765889404128,-0.05704866561095506,-0.7857942699148407,-0.15765446275864758,46.1,-1.0
cn_new_energy_healthcare,cn,inverse_volatility,smart_policy_oos_guard,0.030305505249221376,-0.032717397669173254,0.10065326203877954,-0.0943130624662168,-0.8686636468828675,-0.24052383972667435,45.3,-1.8000000000000043
cn_new_energy_healthcare,cn,mean_variance,smart_policy_oos_guard,0.1421127804122979,0.07908987749390328,0.36766527278638556,0.1726989482813892,-0.2059114872198276,0.4222283199363655,51.2,4.100000000000001
cn_new_energy_healthcare,cn,raw_black_litterman,smart_policy_oos_guard,0.060743594690385816,-0.002279308228008814,0.18485905358511384,-0.010107270919882505,-0.6172519906592668,0.010887816496926273,46.9,-0.20000000000000284
cn_new_energy_healthcare,cn,smart_policy,smart_policy_oos_guard,0.060839505707311003,-0.0021833972110836264,0.1852178406075934,-0.00974848389740296,-0.6172912828229862,0.010848524333206933,46.9,-0.20000000000000284
cn_new_energy_healthcare,cn,smart_policy_oos_guard,smart_policy_oos_guard,0.06302290291839463,0.0,0.19496632450499635,0.0,-0.6281398071561931,0.0,47.1,0.0
cn_state_owned_defensive,cn,equal_weight,smart_policy_oos_guard,0.17185244509012398,0.033135347698759476,0.5830487111667074,0.06779449527021653,-0.6751557285100286,0.09010236570597308,55.9,0.19999999999999574
cn_state_owned_defensive,cn,inverse_volatility,smart_policy_oos_guard,0.16088613028855137,0.022169032897186858,0.587090036791919,0.07183582089542806,-0.722661803751602,0.04259629046439961,56.7,1.0
cn_state_owned_defensive,cn,mean_variance,smart_policy_oos_guard,0.09790403877371379,-0.04081305861765072,0.3681010653949799,-0.147153150501511,-0.8548184460247304,-0.08956035180872879,53.7,-2.0
cn_state_owned_defensive,cn,raw_black_litterman,smart_policy_oos_guard,0.1216033137823378,-0.01711378360902671,0.463716806946137,-0.05153740895035391,-0.8006153429135302,-0.03535724869752854,55.3,-0.4000000000000057
cn_state_owned_defensive,cn,smart_policy,smart_policy_oos_guard,0.12188014600385721,-0.016836951387507293,0.4646159341074324,-0.05063828178905849,-0.801448009345408,-0.03618991512940639,55.3,-0.4000000000000057
cn_state_owned_defensive,cn,smart_policy_oos_guard,smart_policy_oos_guard,0.1387170973913645,0.0,0.5152542158964909,0.0,-0.7652580942160017,0.0,55.7,0.0
hk_china_etf_cross_asset,hk,equal_weight,smart_policy_oos_guard,0.00022893123127598614,-0.016222608292944196,0.0031330639154007393,-0.2336870135562164,0.03556845557462439,-0.7955479711756204,55.4,-9.399999999999999
hk_china_etf_cross_asset,hk,inverse_volatility,smart_policy_oos_guard,0.010608023065673544,-0.005843516458546638,0.15149208801801708,-0.08532798945360007,0.49395524896899395,-0.3371611777812508,61.4,-3.3999999999999986
hk_china_etf_cross_asset,hk,mean_variance,smart_policy_oos_guard,0.0238084679656545,0.007356928441434318,0.3385299695865698,0.10170989211495263,1.1353227745173406,0.3042063477670959,67.7,2.9000000000000057
hk_china_etf_cross_asset,hk,raw_black_litterman,smart_policy_oos_guard,0.022705760732782965,0.006254221208562782,0.3279722209770454,0.09115214350542827,1.139376994045192,0.30826056729494733,68.5,3.700000000000003
hk_china_etf_cross_asset,hk,smart_policy,smart_policy_oos_guard,0.016451539524220182,0.0,0.23682007747161715,0.0,0.8311164267502448,0.0,64.8,0.0
hk_china_etf_cross_asset,hk,smart_policy_oos_guard,smart_policy_oos_guard,0.016451539524220182,0.0,0.23682007747161715,0.0,0.8311164267502448,0.0,64.8,0.0
hk_consumption_insurance_mix,hk,equal_weight,smart_policy_oos_guard,0.004484620107463089,-0.08261003739879569,0.012919390727632284,-0.28663668720123403,-1.440876108710903,-0.5636138644623124,42.6,-8.100000000000001
hk_consumption_insurance_mix,hk,inverse_volatility,smart_policy_oos_guard,0.11714892736955806,0.030054269863299288,0.4069580611594014,0.10740198323053513,-0.7584177988139441,0.11884444543464645,52.9,2.1999999999999957
hk_consumption_insurance_mix,hk,mean_variance,smart_policy_oos_guard,0.07213774578713017,-0.014956911719128607,0.23969076278191137,-0.05986531514695492,-0.8311729962312322,0.046089248017358364,50.1,-0.6000000000000014
hk_consumption_insurance_mix,hk,raw_black_litterman,smart_policy_oos_guard,0.08330924696157971,-0.0037854105446790687,0.2968064261951169,-0.002749651733749414,-0.8815192430550759,-0.004256998806485335,51.3,0.5999999999999943
hk_consumption_insurance_mix,hk,smart_policy,smart_policy_oos_guard,0.08709465750625878,0.0,0.2995560779288663,0.0,-0.8772622442485906,0.0,50.7,0.0
hk_consumption_insurance_mix,hk,smart_policy_oos_guard,smart_policy_oos_guard,0.08709465750625878,0.0,0.2995560779288663,0.0,-0.8772622442485906,0.0,50.7,0.0
hk_income_property_credit,hk,equal_weight,smart_policy_oos_guard,0.5490401132913314,0.008475161844126555,1.7980190377993068,-0.2730064441376543,0.09390115125595494,0.0271416480675198,73.0,-4.099999999999994
hk_income_property_credit,hk,inverse_volatility,smart_policy_oos_guard,0.4817961498741532,-0.05876880157305164,1.8623313449833272,-0.20869413695363392,-0.06324523753547592,-0.13000474072391105,74.3,-2.799999999999997
hk_income_property_credit,hk,mean_variance,smart_policy_oos_guard,0.5953139406875838,0.054748989240378965,1.9876066477761185,-0.08341883416084261,0.1863091414590617,0.11954963827062655,76.5,-0.5999999999999943
hk_income_property_credit,hk,raw_black_litterman,smart_policy_oos_guard,0.5428960561858236,0.00233110473861875,2.03787286739165,-0.03315261454531093,0.07228116152498971,0.005521658336554575,77.0,-0.09999999999999432
