horizon,market,portfolio_name,baseline,train_row_count,test_row_count,train_positive_count,test_positive_count,test_start,test_end,note
1,hk,hk_platform_financial_core,frozen_calibrated_xgboost,1221,306,63,20,2025-02-14,2026-05-14,
1,hk,hk_platform_financial_core,frozen_raw_xgboost_without_calibration,1221,306,63,20,2025-02-14,2026-05-14,ablation_of_calibration_layer
1,hk,hk_platform_financial_core,historical_tail_threshold,1221,306,63,20,2025-02-14,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,hk,hk_platform_financial_core,gradient_boosting,1221,306,63,20,2025-02-14,2026-05-14,
1,hk,hk_platform_financial_core,logistic_regression,1221,306,63,20,2025-02-14,2026-05-14,
1,hk,hk_platform_financial_core,random_forest,1221,306,63,20,2025-02-14,2026-05-14,
5,hk,hk_platform_financial_core,frozen_calibrated_xgboost,1215,304,78,15,2025-02-12,2026-05-08,
5,hk,hk_platform_financial_core,frozen_raw_xgboost_without_calibration,1215,304,78,15,2025-02-12,2026-05-08,ablation_of_calibration_layer
5,hk,hk_platform_financial_core,historical_tail_threshold,1215,304,78,15,2025-02-12,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,hk,hk_platform_financial_core,gradient_boosting,1215,304,78,15,2025-02-12,2026-05-08,
5,hk,hk_platform_financial_core,logistic_regression,1215,304,78,15,2025-02-12,2026-05-08,
5,hk,hk_platform_financial_core,random_forest,1215,304,78,15,2025-02-12,2026-05-08,
1,hk,hk_consumption_insurance_mix,frozen_calibrated_xgboost,1453,364,73,15,2024-11-18,2026-05-14,
1,hk,hk_consumption_insurance_mix,frozen_raw_xgboost_without_calibration,1453,364,73,15,2024-11-18,2026-05-14,ablation_of_calibration_layer
1,hk,hk_consumption_insurance_mix,historical_tail_threshold,1453,364,73,15,2024-11-18,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,hk,hk_consumption_insurance_mix,gradient_boosting,1453,364,73,15,2024-11-18,2026-05-14,
1,hk,hk_consumption_insurance_mix,logistic_regression,1453,364,73,15,2024-11-18,2026-05-14,
1,hk,hk_consumption_insurance_mix,random_forest,1453,364,73,15,2024-11-18,2026-05-14,
5,hk,hk_consumption_insurance_mix,frozen_calibrated_xgboost,1447,362,86,11,2024-11-14,2026-05-08,
5,hk,hk_consumption_insurance_mix,frozen_raw_xgboost_without_calibration,1447,362,86,11,2024-11-14,2026-05-08,ablation_of_calibration_layer
5,hk,hk_consumption_insurance_mix,historical_tail_threshold,1447,362,86,11,2024-11-14,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,hk,hk_consumption_insurance_mix,gradient_boosting,1447,362,86,11,2024-11-14,2026-05-08,
5,hk,hk_consumption_insurance_mix,logistic_regression,1447,362,86,11,2024-11-14,2026-05-08,
5,hk,hk_consumption_insurance_mix,random_forest,1447,362,86,11,2024-11-14,2026-05-08,
1,hk,hk_income_property_credit,frozen_calibrated_xgboost,1596,399,97,21,2024-09-26,2026-05-14,
1,hk,hk_income_property_credit,frozen_raw_xgboost_without_calibration,1596,399,97,21,2024-09-26,2026-05-14,ablation_of_calibration_layer
1,hk,hk_income_property_credit,historical_tail_threshold,1596,399,97,21,2024-09-26,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,hk,hk_income_property_credit,gradient_boosting,1596,399,97,21,2024-09-26,2026-05-14,
1,hk,hk_income_property_credit,logistic_regression,1596,399,97,21,2024-09-26,2026-05-14,
1,hk,hk_income_property_credit,random_forest,1596,399,97,21,2024-09-26,2026-05-14,
5,hk,hk_income_property_credit,frozen_calibrated_xgboost,1589,398,97,18,2024-09-23,2026-05-08,
5,hk,hk_income_property_credit,frozen_raw_xgboost_without_calibration,1589,398,97,18,2024-09-23,2026-05-08,ablation_of_calibration_layer
5,hk,hk_income_property_credit,historical_tail_threshold,1589,398,97,18,2024-09-23,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,hk,hk_income_property_credit,gradient_boosting,1589,398,97,18,2024-09-23,2026-05-08,
5,hk,hk_income_property_credit,logistic_regression,1589,398,97,18,2024-09-23,2026-05-08,
5,hk,hk_income_property_credit,random_forest,1589,398,97,18,2024-09-23,2026-05-08,
1,hk,hk_china_etf_cross_asset,frozen_calibrated_xgboost,354,89,20,6,2025-12-31,2026-05-14,
1,hk,hk_china_etf_cross_asset,frozen_raw_xgboost_without_calibration,354,89,20,6,2025-12-31,2026-05-14,ablation_of_calibration_layer
1,hk,hk_china_etf_cross_asset,historical_tail_threshold,354,89,20,6,2025-12-31,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,hk,hk_china_etf_cross_asset,gradient_boosting,354,89,20,6,2025-12-31,2026-05-14,
1,hk,hk_china_etf_cross_asset,logistic_regression,354,89,20,6,2025-12-31,2026-05-14,
1,hk,hk_china_etf_cross_asset,random_forest,354,89,20,6,2025-12-31,2026-05-14,
5,hk,hk_china_etf_cross_asset,frozen_calibrated_xgboost,348,87,20,5,2025-12-29,2026-05-08,
5,hk,hk_china_etf_cross_asset,frozen_raw_xgboost_without_calibration,348,87,20,5,2025-12-29,2026-05-08,ablation_of_calibration_layer
5,hk,hk_china_etf_cross_asset,historical_tail_threshold,348,87,20,5,2025-12-29,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,hk,hk_china_etf_cross_asset,gradient_boosting,348,87,20,5,2025-12-29,2026-05-08,
5,hk,hk_china_etf_cross_asset,logistic_regression,348,87,20,5,2025-12-29,2026-05-08,
5,hk,hk_china_etf_cross_asset,random_forest,348,87,20,5,2025-12-29,2026-05-08,
1,cn,cn_consumption_financial_core,frozen_calibrated_xgboost,1570,393,68,19,2024-09-24,2026-05-14,
1,cn,cn_consumption_financial_core,frozen_raw_xgboost_without_calibration,1570,393,68,19,2024-09-24,2026-05-14,ablation_of_calibration_layer
1,cn,cn_consumption_financial_core,historical_tail_threshold,1570,393,68,19,2024-09-24,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,cn,cn_consumption_financial_core,gradient_boosting,1570,393,68,19,2024-09-24,2026-05-14,
1,cn,cn_consumption_financial_core,logistic_regression,1570,393,68,19,2024-09-24,2026-05-14,
1,cn,cn_consumption_financial_core,random_forest,1570,393,68,19,2024-09-24,2026-05-14,
5,cn,cn_consumption_financial_core,frozen_calibrated_xgboost,1564,391,64,24,2024-09-20,2026-05-08,
5,cn,cn_consumption_financial_core,frozen_raw_xgboost_without_calibration,1564,391,64,24,2024-09-20,2026-05-08,ablation_of_calibration_layer
5,cn,cn_consumption_financial_core,historical_tail_threshold,1564,391,64,24,2024-09-20,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,cn,cn_consumption_financial_core,gradient_boosting,1564,391,64,24,2024-09-20,2026-05-08,
5,cn,cn_consumption_financial_core,logistic_regression,1564,391,64,24,2024-09-20,2026-05-08,
5,cn,cn_consumption_financial_core,random_forest,1564,391,64,24,2024-09-20,2026-05-08,
1,cn,cn_new_energy_healthcare,frozen_calibrated_xgboost,1419,355,71,12,2024-11-22,2026-05-14,
1,cn,cn_new_energy_healthcare,frozen_raw_xgboost_without_calibration,1419,355,71,12,2024-11-22,2026-05-14,ablation_of_calibration_layer
1,cn,cn_new_energy_healthcare,historical_tail_threshold,1419,355,71,12,2024-11-22,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,cn,cn_new_energy_healthcare,gradient_boosting,1419,355,71,12,2024-11-22,2026-05-14,
1,cn,cn_new_energy_healthcare,logistic_regression,1419,355,71,12,2024-11-22,2026-05-14,
1,cn,cn_new_energy_healthcare,random_forest,1419,355,71,12,2024-11-22,2026-05-14,
5,cn,cn_new_energy_healthcare,frozen_calibrated_xgboost,1412,354,74,18,2024-11-19,2026-05-08,
5,cn,cn_new_energy_healthcare,frozen_raw_xgboost_without_calibration,1412,354,74,18,2024-11-19,2026-05-08,ablation_of_calibration_layer
5,cn,cn_new_energy_healthcare,historical_tail_threshold,1412,354,74,18,2024-11-19,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,cn,cn_new_energy_healthcare,gradient_boosting,1412,354,74,18,2024-11-19,2026-05-08,
5,cn,cn_new_energy_healthcare,logistic_regression,1412,354,74,18,2024-11-19,2026-05-08,
5,cn,cn_new_energy_healthcare,random_forest,1412,354,74,18,2024-11-19,2026-05-08,
1,cn,cn_state_owned_defensive,frozen_calibrated_xgboost,1570,393,81,21,2024-09-24,2026-05-14,
1,cn,cn_state_owned_defensive,frozen_raw_xgboost_without_calibration,1570,393,81,21,2024-09-24,2026-05-14,ablation_of_calibration_layer
1,cn,cn_state_owned_defensive,historical_tail_threshold,1570,393,81,21,2024-09-24,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,cn,cn_state_owned_defensive,gradient_boosting,1570,393,81,21,2024-09-24,2026-05-14,
1,cn,cn_state_owned_defensive,logistic_regression,1570,393,81,21,2024-09-24,2026-05-14,
1,cn,cn_state_owned_defensive,random_forest,1570,393,81,21,2024-09-24,2026-05-14,
5,cn,cn_state_owned_defensive,frozen_calibrated_xgboost,1564,391,84,13,2024-09-20,2026-05-08,
5,cn,cn_state_owned_defensive,frozen_raw_xgboost_without_calibration,1564,391,84,13,2024-09-20,2026-05-08,ablation_of_calibration_layer
5,cn,cn_state_owned_defensive,historical_tail_threshold,1564,391,84,13,2024-09-20,2026-05-08,current_historical_return_breaches_current_tail_threshold
