date,portfolio_name,market,strategy,daily_return,cumulative_return,benchmark_daily_return,benchmark_cumulative_return,decision_policy
2024-09-12,us_quality_tech_finance,us,equal_weight,0.008696313136337452,0.00873423591716782,0.008388118911093636,0.0084233977525765,
2024-09-13,us_quality_tech_finance,us,equal_weight,0.0049762978525329975,0.013766508588245907,0.005208925019531913,0.013689904129867925,
2024-09-16,us_quality_tech_finance,us,equal_weight,-0.0073187840339813005,0.006374055333219886,0.0014758125532715154,0.015187024878574595,
2024-09-17,us_quality_tech_finance,us,equal_weight,-0.0022050106991807136,0.004157434508264002,0.0004084856585899843,0.015601798927881827,
2024-09-18,us_quality_tech_finance,us,equal_weight,-0.00014797212198404365,0.004008858194720855,-0.002970137229515202,0.012589797457625895,
2024-09-19,us_quality_tech_finance,us,equal_weight,0.020136644075528114,0.02443115541371066,0.016920418931100533,0.02986901458003821,
2024-09-20,us_quality_tech_finance,us,equal_weight,0.002056910205509342,0.02654048692118116,-0.0017302411649581216,0.02808863350497548,
2024-09-23,us_quality_tech_finance,us,equal_weight,-0.0004154827292027188,0.026114065669504916,0.0024959264579392793,0.030657872107962447,
2024-09-24,us_quality_tech_finance,us,equal_weight,0.0017279541542465653,0.027888676513543098,0.002857246549837139,0.033606926839027995,
2024-09-25,us_quality_tech_finance,us,equal_weight,0.00032154070884892296,0.028219237708799527,-0.0022079972930059673,0.031327243236316527,
2024-09-26,us_quality_tech_finance,us,equal_weight,0.002638309442938269,0.030935579933096147,0.003956800645357593,0.03541608356629222,
2024-09-27,us_quality_tech_finance,us,equal_weight,-0.004332554784691184,0.026478656956782753,-0.0014511985253252875,0.03391457902682071,
2024-09-30,us_quality_tech_finance,us,equal_weight,0.006677400794613964,0.033355801528739626,0.003999112588592874,0.03805759851445667,
2024-10-01,us_quality_tech_finance,us,equal_weight,-0.020479932701104223,0.01240798139982413,-0.008998909929383531,0.028758117038220732,
2024-10-02,us_quality_tech_finance,us,equal_weight,0.005884545838078836,0.018383105777705744,0.0004222111989323928,0.029192561943525153,
2024-10-03,us_quality_tech_finance,us,equal_weight,-0.0016770603675045337,0.016676647149092894,-0.0018299588971565878,0.027310904061300878,
2024-10-04,us_quality_tech_finance,us,equal_weight,0.012672148111882805,0.029642100775483904,0.00904622870774709,0.036646355102788464,
2024-10-07,us_quality_tech_finance,us,equal_weight,-0.012367088182356547,0.016986841766991834,-0.009081570901981272,0.027274597281375046,
2024-10-08,us_quality_tech_finance,us,equal_weight,0.01165812259402078,0.028912378662231175,0.00941320719075716,0.036990201665615396,
2024-10-09,us_quality_tech_finance,us,equal_weight,0.016134441721505514,0.045647951989466584,0.006902691270316548,0.044172986631685784,
2024-10-10,us_quality_tech_finance,us,equal_weight,0.00014231996867765292,0.045796779163529866,-0.0017517018867963306,0.04234550790712177,
2024-10-11,us_quality_tech_finance,us,equal_weight,0.003144204289235695,0.049090152688630484,0.005970194588003583,0.04858712671740584,
2024-10-14,us_quality_tech_finance,us,equal_weight,0.007244844443856887,0.05671824646373613,0.00814529536083004,0.05716305790762766,
2024-10-15,us_quality_tech_finance,us,equal_weight,-0.021165627985496357,0.034587176362526506,-0.007800074963761271,0.048949182872641606,
2024-10-16,us_quality_tech_finance,us,equal_weight,0.004378768769880877,0.03912732726132817,0.004336971876182105,0.0535083252682822,
2024-10-17,us_quality_tech_finance,us,equal_weight,0.004693818849336686,0.04401626762103028,8.588641372365317e-05,0.05359881120586807,
2024-10-18,us_quality_tech_finance,us,equal_weight,0.00342099173766072,0.047593954776450786,0.0038392067323844334,0.057651569565700944,
2024-10-21,us_quality_tech_finance,us,equal_weight,0.00020071538683198665,0.047804244105772664,-0.001643661052236779,0.0559145767787228,
