horizon,market,portfolio_name,row_count,positive_event_count,positive_rate,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift
1,cn,cn_consumption_financial_core,1963.0,87.0,0.04431991849210392,0.6227176923265446,0.09395667167030139,0.04166804571085175,0.18527504874021422,0.011308953982541805,0.5,0.011494252873563218,2.748818484158936
1,cn,cn_new_energy_healthcare,1774.0,83.0,0.0467869222096956,0.6174859105256032,0.09050945589893053,0.04410021239296783,0.1946837732431254,0.00868554076016929,0.5,0.012048192771084338,2.761743603627995
1,cn,cn_state_owned_defensive,1963.0,102.0,0.05196128374936322,0.5385229320099882,0.06173112125195171,0.04940714842198665,0.2056798651085276,0.00745951306952223,0.0,0.0,1.1722902358913108
1,hk,hk_china_etf_cross_asset,443.0,26.0,0.05869074492099323,0.5648404353440325,0.0999507338058484,0.05453128862167215,0.2199491311563124,0.012162198596960811,0.0,0.0,1.893162393162393
1,hk,hk_consumption_insurance_mix,1817.0,88.0,0.048431480462300495,0.5957595036542405,0.09845711087066891,0.045221317673012025,0.1886665864349133,0.008824632068320674,0.0,0.0,2.495879120879121
1,hk,hk_income_property_credit,1995.0,118.0,0.05914786967418546,0.5971641548450014,0.08316763930865698,0.05575351265635227,0.2318527181812555,0.010153568830194857,0.0,0.0,2.1133474576271185
1,hk,hk_platform_financial_core,1527.0,83.0,0.05435494433529797,0.6285543837399459,0.1168822274684106,0.04990099454489485,0.201883704150224,0.0072195837528145216,0.0,0.0,2.765650838648712
1,jp,jp_auto_electronics_core,1976.0,113.0,0.057186234817813764,0.6610804725464209,0.11256725036917713,0.05259448445556571,0.20928476997978304,0.004472453838732708,0.0,0.0,2.826137481004738
1,jp,jp_defensive_domestic,1976.0,101.0,0.051113360323886636,0.5744052805280528,0.07097922284049346,0.04822513455552628,0.19956905373532735,0.003481849902152019,0.0,0.0,1.7785778577857787
1,jp,jp_financial_industrial_mix,1976.0,106.0,0.053643724696356275,0.6316920593280193,0.1068184089506127,0.04949077884795126,0.2008145381775832,0.00204226945707389,0.0,0.0,2.353725938631599
1,jp,jp_index_style_blend,1958.0,111.0,0.05669050051072523,0.680333825975407,0.12250912713847319,0.05192715355943735,0.20680178327584375,0.006673608341645731,0.0,0.0,2.699944842801986
1,tw,tw_defensive_income_financials,1966.0,113.0,0.05747711088504578,0.5622430022589534,0.08436104653057146,0.05369949468759718,0.21820814975134972,0.008196686730924847,0.0,0.0,1.8546336642558736
1,tw,tw_electronics_supply_chain,1966.0,115.0,0.05849440488301119,0.6535879548070374,0.10816554740281992,0.053827343947206056,0.2143522478672649,0.0063913359749482816,1.0,0.008695652173913044,1.909159126020746
1,tw,tw_index_factor_mix,804.0,46.0,0.05721393034825871,0.6149047837558793,0.09083905485113776,0.053401359255592556,0.21508754790064405,0.011464503605326458,0.0,0.0,1.9420289855072461
1,tw,tw_semiconductor_platform_core,1966.0,111.0,0.056459816887080364,0.7001384133459606,0.1387008452191374,0.051323603364125656,0.20325067171095576,0.0027212427211786338,0.0,0.0,2.8770293135775367
1,us,us_ai_infrastructure_barbell,2042.0,117.0,0.05729676787463271,0.666999666999667,0.10281009894991404,0.0528828069330338,0.2103298149952974,0.002030428682710527,0.0,0.0,2.639232853867
1,us,us_dividend_low_volatility,2042.0,106.0,0.05190989226248776,0.6568298768127242,0.1480875495141567,0.047431599036914344,0.2109705024618858,0.004299007056744229,0.6,0.02830188679245283,2.4432581684307406
1,us,us_mid_small_sector_mix,2042.0,106.0,0.05190989226248776,0.669964817558085,0.13193462550987498,0.047553810711491076,0.19334037035541368,0.0050787603653601725,0.0,0.0,2.631201104463875
1,us,us_quality_tech_finance,2042.0,108.0,0.05288932419196866,0.6946455245317706,0.13255622513392729,0.04850278306096812,0.19492636430172167,0.0031961594436281477,0.0,0.0,2.0290876242095752
