horizon,market,row_count,positive_event_count,positive_rate,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift
1,cn,5700.0,272.0,0.047719298245614036,0.5863134103125406,0.07861960257004413,0.04509024260840117,0.19523044028392714,0.004438175166253203,0.5,0.007352941176470588,1.9485294117647058
1,hk,5782.0,315.0,0.05447941888619855,0.5984446360703906,0.0946286471762171,0.050804491783248154,0.20945472875535812,0.0016011060129204153,0.0,0.0,2.219151794281328
1,jp,7886.0,431.0,0.05465381689069237,0.6391070319830817,0.10247321160376231,0.05055626589384324,0.2041114094286159,0.003258267840450928,0.0,0.0,2.504530096248004
1,tw,6702.0,385.0,0.057445538645180545,0.6348470114656595,0.10569004531562534,0.0530042766056984,0.21231497326380977,0.005601323953004624,1.0,0.0025974025974025974,2.5164766678924653
1,us,8168.0,437.0,0.05350146914789422,0.6730471130670393,0.12486490010772214,0.04909274993560184,0.20239176302857967,0.002131510585209056,0.6,0.006864988558352402,2.4936685815437962
5,cn,5676.0,277.0,0.048801973220577874,0.626848266459292,0.08149005813748111,0.04577554758898247,0.1899519277016657,0.006160313305275668,0.0,0.0,2.200615243809427
5,hk,5750.0,330.0,0.057391304347826085,0.5698641395504865,0.09593841191991288,0.053250041998426985,0.2239626213989423,0.005343121770811966,0.0,0.0,2.1212121212121215
5,jp,7854.0,467.0,0.05946014769544181,0.6338744289768847,0.09318823784499647,0.055155927006050716,0.23394922212680683,0.007170993727535477,0.0,0.0,2.2894715334194222
5,tw,6670.0,404.0,0.06056971514242879,0.652622158561212,0.09442243385226422,0.05637414652548675,0.22326636069198452,0.008795086426623014,0.0,0.0,2.128712871287129
5,us,8136.0,452.0,0.05555555555555555,0.6611353093199062,0.09491101491172807,0.05174977292702925,0.21386977925818848,0.0037213530866482157,0.0,0.0,2.078624078624079
