scope,horizon,threshold,row_count,positive_count,positive_rate,flag_rate,flag_count,precision,recall,f1,top_1_precision,top_1_recall,top_1_lift,top_5_precision,top_5_recall,top_5_lift,top_10_precision,top_10_recall,top_10_lift
global,,0.05,68324.0,3770.0,0.0551782682512733,0.6187723201217727,42277.0,0.0681694538401495,0.7644562334217506,0.125176450148761,0.260233918128655,0.0472148541114058,4.716239316239316,0.1553994732221246,0.1408488063660477,2.8163166070101977,0.1208839455583199,0.2190981432360742,2.1907890441184747
global,,0.075,68324.0,3770.0,0.0551782682512733,0.1004625021954218,6864.0,0.1204836829836829,0.2193633952254642,0.1555388376904269,0.260233918128655,0.0472148541114058,4.716239316239316,0.1553994732221246,0.1408488063660477,2.8163166070101977,0.1208839455583199,0.2190981432360742,2.1907890441184747
global,,0.1,68324.0,3770.0,0.0551782682512733,0.042313096422926,2891.0,0.1681079211345555,0.1289124668435013,0.1459240354301156,0.260233918128655,0.0472148541114058,4.716239316239316,0.1553994732221246,0.1408488063660477,2.8163166070101977,0.1208839455583199,0.2190981432360742,2.1907890441184747
global,,0.15,68324.0,3770.0,0.0551782682512733,0.015192318950881,1038.0,0.2360308285163776,0.0649867374005305,0.1019134775374376,0.260233918128655,0.0472148541114058,4.716239316239316,0.1553994732221246,0.1408488063660477,2.8163166070101977,0.1208839455583199,0.2190981432360742,2.1907890441184747
global,,0.2,68324.0,3770.0,0.0551782682512733,0.0079327908202095,542.0,0.2767527675276753,0.039787798408488,0.0695732838589981,0.260233918128655,0.0472148541114058,4.716239316239316,0.1553994732221246,0.1408488063660477,2.8163166070101977,0.1208839455583199,0.2190981432360742,2.1907890441184747
global,,0.3,68324.0,3770.0,0.0551782682512733,0.0001609975996721,11.0,0.5454545454545454,0.0015915119363395,0.0031737635546151,0.260233918128655,0.0472148541114058,4.716239316239316,0.1553994732221246,0.1408488063660477,2.8163166070101977,0.1208839455583199,0.2190981432360742,2.1907890441184747
global,,0.4,68324.0,3770.0,0.0551782682512733,0.0001609975996721,11.0,0.5454545454545454,0.0015915119363395,0.0031737635546151,0.260233918128655,0.0472148541114058,4.716239316239316,0.1553994732221246,0.1408488063660477,2.8163166070101977,0.1208839455583199,0.2190981432360742,2.1907890441184747
global,,0.5,68324.0,3770.0,0.0551782682512733,0.0001609975996721,11.0,0.5454545454545454,0.0015915119363395,0.0031737635546151,0.260233918128655,0.0472148541114058,4.716239316239316,0.1553994732221246,0.1408488063660477,2.8163166070101977,0.1208839455583199,0.2190981432360742,2.1907890441184747
global,,0.6,68324.0,3770.0,0.0551782682512733,0.0001609975996721,11.0,0.5454545454545454,0.0015915119363395,0.0031737635546151,0.260233918128655,0.0472148541114058,4.716239316239316,0.1553994732221246,0.1408488063660477,2.8163166070101977,0.1208839455583199,0.2190981432360742,2.1907890441184747
horizon,1.0,0.05,34238.0,1840.0,0.0537414568607979,0.4770138442666043,16332.0,0.0718834190546167,0.6380434782608696,0.1292097732775698,0.2886297376093295,0.0538043478260869,5.370709215363164,0.1617990654205607,0.1505434782608695,3.010693696668021,0.1203271028037383,0.2239130434782608,2.238999644453474
horizon,1.0,0.075,34238.0,1840.0,0.0537414568607979,0.159705590279806,5468.0,0.1097293343087052,0.3260869565217391,0.1642036124794745,0.2886297376093295,0.0538043478260869,5.370709215363164,0.1617990654205607,0.1505434782608695,3.010693696668021,0.1203271028037383,0.2239130434782608,2.238999644453474
horizon,1.0,0.1,34238.0,1840.0,0.0537414568607979,0.0438109702669548,1500.0,0.1733333333333333,0.1413043478260869,0.155688622754491,0.2886297376093295,0.0538043478260869,5.370709215363164,0.1617990654205607,0.1505434782608695,3.010693696668021,0.1203271028037383,0.2239130434782608,2.238999644453474
horizon,1.0,0.15,34238.0,1840.0,0.0537414568607979,0.0222267655821017,761.0,0.2339027595269382,0.0967391304347826,0.1368704344482891,0.2886297376093295,0.0538043478260869,5.370709215363164,0.1617990654205607,0.1505434782608695,3.010693696668021,0.1203271028037383,0.2239130434782608,2.238999644453474
