ablation,portfolio_count,delta_cumulative_return,delta_sharpe,delta_information_ratio,delta_model_score
equal_weight,19,-0.016294300210075757,-0.07116195335932826,-0.14598663780553636,-1.6421052631578956
inverse_volatility,19,-0.057075458528837095,-0.06598139049894364,-0.15075512053309117,-0.9736842105263158
mean_variance,19,0.013451168646978583,-0.011535672602891248,0.11743322703543084,-0.4578947368421053
raw_black_litterman,19,-0.01882731765339822,-0.03335530832582336,-0.008186342276829102,-0.3894736842105275
smart_policy,19,-0.019376083117167195,-0.03828891506910996,-0.0350679951918647,-0.6473684210526316
smart_policy_oos_guard,19,0.0,0.0,0.0,0.0
