horizon,model_version,artifact_hash,feature_schema_hash,validation_status,hash_matches_metadata
H1,crisis-warning-xgb-h1-2026-05-17,b807acefbc0c5774844331b7514791fd892f33a59846250728a64ca55506d6cd,47b23430fb89b4626436b0e9dd3f14017183473c4af2450b25601fd935512ece,degraded_validation,True
H5,crisis-warning-xgb-h5-2026-05-17,625482ed714b903cd94ebdfd47fc8d9b0b0e7e5282ccc6a3b9af290b537053d0,cc27ed4e44fbd4658e39591391e8a339a1d968fb35a94eb46417d2ee687260e9,degraded_validation,True
