horizon,baseline,row_count,positive_event_count,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift
1,frozen_calibrated_xgboost,6858.0,371.0,0.6055189375225674,0.0905362845184596,0.050391260737183,0.2055027423827762,0.0031572580025496,1.0,0.0026954177897574,2.020973965250328
1,frozen_raw_xgboost_without_calibration,6858.0,371.0,0.6094856102418398,0.099207849218671,0.2084284983098979,0.6081457211982468,0.3875162832614944,0.1162790697674418,0.2021563342318059,2.0479202847869993
1,gradient_boosting,6858.0,371.0,0.5414023153086185,0.0594059907387244,0.0875210589760911,0.3210891208025586,0.0796581565047435,0.0519877675840978,0.045822102425876,0.9970138228568286
1,historical_tail_threshold,6858.0,371.0,0.524506819984568,0.0587842864110488,0.0966754153797025,2.003430339077752,0.0966754145730533,0.1010928961748633,0.0997304582210242,1.4551012549802365
1,logistic_regression,6858.0,371.0,0.5557629877212439,0.0713467879589196,0.2405453998815437,0.6817844242074081,0.4113011183324382,0.0699135899450117,0.2398921832884097,1.4551012549802365
1,random_forest,6858.0,371.0,0.5758953112528187,0.0880400838251365,0.1140024071711756,0.3949578186529159,0.2310802135714505,0.1720430107526881,0.0431266846361186,1.778457089420289
5,frozen_calibrated_xgboost,6823.0,331.0,0.6013922782955736,0.0642266165754411,0.0460384322485344,0.1913597350650503,0.0032730567381577,0.0,0.0,2.0522751500621483
5,frozen_raw_xgboost_without_calibration,6823.0,331.0,0.6121517442802018,0.0725548147401445,0.2065595486873636,0.6012021708312333,0.3847226418366962,0.0915300546448087,0.202416918429003,1.8711920485860765
5,gradient_boosting,6823.0,331.0,0.5716778074990739,0.0605218847525456,0.0667781364105407,0.2680516934120268,0.0582885511615937,0.0823529411764705,0.0422960725075528,1.297762227245182
5,historical_tail_threshold,6823.0,331.0,0.5055185280326425,0.0491359183971222,0.0898431773082222,1.8618440528757156,0.0898431764879085,0.059375,0.0574018126888217,1.0563180919437527
5,logistic_regression,6823.0,331.0,0.55011931952503,0.0556513721689741,0.2404059975319563,0.6844424456372895,0.4007588215533429,0.0623640319071791,0.2598187311178248,1.0864986088564317
5,random_forest,6823.0,331.0,0.5705804773897877,0.0751747017913719,0.0997701423586351,0.3567550771984223,0.2047421632703812,0.1864406779661017,0.0332326283987915,1.7806504978480404
