strategy,portfolio_count,cumulative_return,annualized_volatility,max_drawdown,expected_shortfall,sharpe,information_ratio,turnover,benchmark_excess_return,model_score
equal_weight,19,0.37632952063997643,0.22263952255529842,-0.1974018120636594,-0.05244639183237874,1.1202749013389206,-0.459737557543805,0.0,-0.1525796095661278,58.27894736842105
inverse_volatility,19,0.3355483623212151,0.2234715281349379,-0.1955009582349713,-0.053763959808621566,1.1254554641993053,-0.46450604027135983,0.31522667392839154,-0.1933607678848891,58.94736842105263
mean_variance,19,0.4060749894970308,0.23889776581602518,-0.20822420572274883,-0.056011284285022014,1.1799011820953575,-0.19631769270283786,2.4759469716599627,-0.12283414070907339,59.46315789473684
raw_black_litterman,19,0.3737965031966539,0.22003668436138218,-0.1937094011632867,-0.051958890403709414,1.1580815463724254,-0.3219372620150978,1.7085965990939207,-0.15511262700945025,59.531578947368416
smart_policy,19,0.373247737732885,0.22009958254485743,-0.19388206138645803,-0.051971481514195804,1.1531479396291389,-0.34881891493013345,1.6629888809190445,-0.1556613924732192,59.27368421052632
smart_policy_oos_guard,19,0.39262382085005215,0.21916721970597566,-0.1919430193456132,-0.05167809275449822,1.1914368546982488,-0.3137509197382687,0.37009574498022263,-0.136285309356052,59.921052631578945
