scope,horizon,threshold,row_count,positive_count,positive_rate,flag_rate,flag_count,precision,recall,f1,top_1_precision,top_1_recall,top_1_lift,top_5_precision,top_5_recall,top_5_lift,top_10_precision,top_10_recall,top_10_lift
global,,0.05,36114.0,1967.0,0.0544664119178158,0.6180705543556515,22321.0,0.066932485103714,0.7595322826639552,0.1230237154150197,0.2541436464088398,0.0467717336044738,4.666061843624219,0.1495016611295681,0.1372648703609557,2.7448413777494776,0.1137873754152823,0.2089476359938993,2.089129270842658
global,,0.075,36114.0,1967.0,0.0544664119178158,0.0950047073157224,3431.0,0.1154182454095016,0.2013218098627351,0.1467210077806595,0.2541436464088398,0.0467717336044738,4.666061843624219,0.1495016611295681,0.1372648703609557,2.7448413777494776,0.1137873754152823,0.2089476359938993,2.089129270842658
global,,0.1,36114.0,1967.0,0.0544664119178158,0.0377139059644459,1362.0,0.1703377386196769,0.1179461108286731,0.1393811955542204,0.2541436464088398,0.0467717336044738,4.666061843624219,0.1495016611295681,0.1372648703609557,2.7448413777494776,0.1137873754152823,0.2089476359938993,2.089129270842658
global,,0.15,36114.0,1967.0,0.0544664119178158,0.01365121559506,493.0,0.2434077079107505,0.0610066090493136,0.0975609756097561,0.2541436464088398,0.0467717336044738,4.666061843624219,0.1495016611295681,0.1372648703609557,2.7448413777494776,0.1137873754152823,0.2089476359938993,2.089129270842658
global,,0.2,36114.0,1967.0,0.0544664119178158,0.0068948330287423,249.0,0.3132530120481928,0.0396542958820538,0.0703971119133574,0.2541436464088398,0.0467717336044738,4.666061843624219,0.1495016611295681,0.1372648703609557,2.7448413777494776,0.1137873754152823,0.2089476359938993,2.089129270842658
global,,0.3,36114.0,1967.0,0.0544664119178158,0.0002215207398792,8.0,0.5,0.0020335536349771,0.0040506329113924,0.2541436464088398,0.0467717336044738,4.666061843624219,0.1495016611295681,0.1372648703609557,2.7448413777494776,0.1137873754152823,0.2089476359938993,2.089129270842658
global,,0.4,36114.0,1967.0,0.0544664119178158,0.0002215207398792,8.0,0.5,0.0020335536349771,0.0040506329113924,0.2541436464088398,0.0467717336044738,4.666061843624219,0.1495016611295681,0.1372648703609557,2.7448413777494776,0.1137873754152823,0.2089476359938993,2.089129270842658
global,,0.5,36114.0,1967.0,0.0544664119178158,0.0002215207398792,8.0,0.5,0.0020335536349771,0.0040506329113924,0.2541436464088398,0.0467717336044738,4.666061843624219,0.1495016611295681,0.1372648703609557,2.7448413777494776,0.1137873754152823,0.2089476359938993,2.089129270842658
global,,0.6,36114.0,1967.0,0.0544664119178158,0.0002215207398792,8.0,0.5,0.0020335536349771,0.0040506329113924,0.2541436464088398,0.0467717336044738,4.666061843624219,0.1495016611295681,0.1372648703609557,2.7448413777494776,0.1137873754152823,0.2089476359938993,2.089129270842658
horizon,1.0,0.05,18097.0,934.0,0.0516107642150632,0.4551583135326297,8237.0,0.0698069685565132,0.6156316916488223,0.1253952676916366,0.2375690607734806,0.0460385438972162,4.603091319933276,0.1524861878453038,0.1477516059957173,2.9545423355850797,0.1149171270718232,0.2226980728051391,2.226611615223538
