scope,horizon,market,row_count,positive_count,positive_rate,threshold,flag_count,flag_rate,true_positive_count,precision,recall,f1,top_1_count,top_1_positive_count,top_1_precision,top_1_recall,top_1_lift,top_5_count,top_5_positive_count,top_5_precision,top_5_recall,top_5_lift,top_10_count,top_10_positive_count,top_10_precision,top_10_recall,top_10_lift
global,,,36114.0,1967.0,0.05446641191781581,0.05,22321.0,0.6180705543556515,1494.0,0.066932485103714,0.7595322826639552,0.12302371541501976,362.0,92.0,0.2541436464088398,0.04677173360447382,4.666061843624219,1806.0,270.0,0.14950166112956811,0.13726487036095578,2.7448413777494776,3612.0,411.0,0.11378737541528239,0.20894763599389934,2.089129270842658
global,,,36114.0,1967.0,0.05446641191781581,0.075,3431.0,0.09500470731572243,396.0,0.1154182454095016,0.20132180986273512,0.14672100778065952,362.0,92.0,0.2541436464088398,0.04677173360447382,4.666061843624219,1806.0,270.0,0.14950166112956811,0.13726487036095578,2.7448413777494776,3612.0,411.0,0.11378737541528239,0.20894763599389934,2.089129270842658
global,,,36114.0,1967.0,0.05446641191781581,0.1,1362.0,0.03771390596444592,232.0,0.17033773861967694,0.11794611082867311,0.13938119555422046,362.0,92.0,0.2541436464088398,0.04677173360447382,4.666061843624219,1806.0,270.0,0.14950166112956811,0.13726487036095578,2.7448413777494776,3612.0,411.0,0.11378737541528239,0.20894763599389934,2.089129270842658
global,,,36114.0,1967.0,0.05446641191781581,0.15,493.0,0.013651215595060088,120.0,0.2434077079107505,0.061006609049313675,0.0975609756097561,362.0,92.0,0.2541436464088398,0.04677173360447382,4.666061843624219,1806.0,270.0,0.14950166112956811,0.13726487036095578,2.7448413777494776,3612.0,411.0,0.11378737541528239,0.20894763599389934,2.089129270842658
global,,,36114.0,1967.0,0.05446641191781581,0.2,249.0,0.006894833028742316,78.0,0.3132530120481928,0.03965429588205389,0.0703971119133574,362.0,92.0,0.2541436464088398,0.04677173360447382,4.666061843624219,1806.0,270.0,0.14950166112956811,0.13726487036095578,2.7448413777494776,3612.0,411.0,0.11378737541528239,0.20894763599389934,2.089129270842658
global,,,36114.0,1967.0,0.05446641191781581,0.3,8.0,0.0002215207398792712,4.0,0.5,0.0020335536349771225,0.004050632911392405,362.0,92.0,0.2541436464088398,0.04677173360447382,4.666061843624219,1806.0,270.0,0.14950166112956811,0.13726487036095578,2.7448413777494776,3612.0,411.0,0.11378737541528239,0.20894763599389934,2.089129270842658
global,,,36114.0,1967.0,0.05446641191781581,0.4,8.0,0.0002215207398792712,4.0,0.5,0.0020335536349771225,0.004050632911392405,362.0,92.0,0.2541436464088398,0.04677173360447382,4.666061843624219,1806.0,270.0,0.14950166112956811,0.13726487036095578,2.7448413777494776,3612.0,411.0,0.11378737541528239,0.20894763599389934,2.089129270842658
global,,,36114.0,1967.0,0.05446641191781581,0.5,8.0,0.0002215207398792712,4.0,0.5,0.0020335536349771225,0.004050632911392405,362.0,92.0,0.2541436464088398,0.04677173360447382,4.666061843624219,1806.0,270.0,0.14950166112956811,0.13726487036095578,2.7448413777494776,3612.0,411.0,0.11378737541528239,0.20894763599389934,2.089129270842658
global,,,36114.0,1967.0,0.05446641191781581,0.6,8.0,0.0002215207398792712,4.0,0.5,0.0020335536349771225,0.004050632911392405,362.0,92.0,0.2541436464088398,0.04677173360447382,4.666061843624219,1806.0,270.0,0.14950166112956811,0.13726487036095578,2.7448413777494776,3612.0,411.0,0.11378737541528239,0.20894763599389934,2.089129270842658
horizon,1.0,,18097.0,934.0,0.05161076421506327,0.05,8237.0,0.4551583135326297,575.0,0.06980696855651329,0.6156316916488223,0.12539526769163667,181.0,43.0,0.23756906077348067,0.046038543897216275,4.603091319933276,905.0,138.0,0.15248618784530388,0.14775160599571735,2.9545423355850797,1810.0,208.0,0.11491712707182321,0.22269807280513917,2.226611615223538
horizon,1.0,,18097.0,934.0,0.05161076421506327,0.075,2754.0,0.1521799193236448,290.0,0.10530137981118373,0.31049250535331907,0.15726681127982647,181.0,43.0,0.23756906077348067,0.046038543897216275,4.603091319933276,905.0,138.0,0.15248618784530388,0.14775160599571735,2.9545423355850797,1810.0,208.0,0.11491712707182321,0.22269807280513917,2.226611615223538
horizon,1.0,,18097.0,934.0,0.05161076421506327,0.1,685.0,0.03785157760954854,126.0,0.18394160583941604,0.1349036402569593,0.15565163681284744,181.0,43.0,0.23756906077348067,0.046038543897216275,4.603091319933276,905.0,138.0,0.15248618784530388,0.14775160599571735,2.9545423355850797,1810.0,208.0,0.11491712707182321,0.22269807280513917,2.226611615223538
horizon,1.0,,18097.0,934.0,0.05161076421506327,0.15,366.0,0.020224346576780683,81.0,0.22131147540983606,0.0867237687366167,0.12461538461538461,181.0,43.0,0.23756906077348067,0.046038543897216275,4.603091319933276,905.0,138.0,0.15248618784530388,0.14775160599571735,2.9545423355850797,1810.0,208.0,0.11491712707182321,0.22269807280513917,2.226611615223538
horizon,1.0,,18097.0,934.0,0.05161076421506327,0.2,127.0,0.007017737746587832,39.0,0.30708661417322836,0.0417558886509636,0.07351555136663526,181.0,43.0,0.23756906077348067,0.046038543897216275,4.603091319933276,905.0,138.0,0.15248618784530388,0.14775160599571735,2.9545423355850797,1810.0,208.0,0.11491712707182321,0.22269807280513917,2.226611615223538
