date,horizon,portfolio_name,market,feature,feature_value,shap_value
2025-03-06,1,us_defensive_income_zero_overlap,us,portfolio_return_1d,-0.000541637074759491,-0.07731703668832779
2025-03-06,1,us_defensive_income_zero_overlap,us,portfolio_return_5d,-0.0004014002964372773,-0.13889555633068085
2025-03-06,1,us_defensive_income_zero_overlap,us,rolling_volatility_5d,0.007771084892842652,-0.07803145796060562
2025-03-06,1,us_defensive_income_zero_overlap,us,rolling_volatility_20d,0.007121949816950934,-0.11100007593631744
2025-03-06,1,us_defensive_income_zero_overlap,us,rolling_volatility_60d,0.007305734439297492,0.09883075207471848
2025-03-06,1,us_defensive_income_zero_overlap,us,rolling_mean_return_5d,-8.028005928745546e-05,-0.026343239471316338
2025-03-06,1,us_defensive_income_zero_overlap,us,rolling_mean_return_20d,0.0018560171762156575,-0.2326180785894394
2025-03-06,1,us_defensive_income_zero_overlap,us,rolling_max_drawdown_20d,-0.014186268094161014,-0.09297727793455124
2025-03-06,1,us_defensive_income_zero_overlap,us,rolling_max_drawdown_60d,-0.0954740335648313,-0.1068921834230423
2025-03-06,1,us_defensive_income_zero_overlap,us,downside_volatility_20d,0.005581127885694852,-0.07600083947181702
2025-03-06,1,us_defensive_income_zero_overlap,us,skewness_20d,-0.6938135243928142,-0.009400803595781326
2025-03-06,1,us_defensive_income_zero_overlap,us,kurtosis_20d,0.4304472383415008,-0.027663057669997215
2025-03-06,1,us_defensive_income_zero_overlap,us,correlation_mean_20d,0.2950816612209795,-0.08503974974155426
2025-03-06,1,us_defensive_income_zero_overlap,us,correlation_max_20d,0.8615391139013249,-0.04033884033560753
2025-03-07,1,us_defensive_income_zero_overlap,us,portfolio_return_1d,0.014036678632111704,-0.02748134732246399
2025-03-07,1,us_defensive_income_zero_overlap,us,portfolio_return_5d,0.005750204644529086,-0.15146785974502563
2025-03-07,1,us_defensive_income_zero_overlap,us,rolling_volatility_5d,0.009615511625782856,-0.08842185884714127
2025-03-07,1,us_defensive_income_zero_overlap,us,rolling_volatility_20d,0.007623279392815084,-0.1199062317609787
