horizon,market,portfolio_name,row_count,positive_event_count,positive_rate,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift
1,cn,cn_consumption_resource_zero_overlap,1963.0,86.0,0.04381049414161997,0.595656106354772,0.06720970086256312,0.041572173651911924,0.1773810639886439,0.007206099114952931,0.0,0.0,1.6221225357100697
1,cn,cn_state_resource_zero_overlap,1963.0,98.0,0.049923586347427405,0.555493242873557,0.057822670903676175,0.04755352822884342,0.19877959080816007,0.004558333652506615,0.0,0.0,1.525173521185124
1,hk,hk_cross_asset_zero_overlap,1995.0,100.0,0.05012531328320802,0.6223984168865435,0.09450553169026768,0.04662920841607028,0.1919161108068287,0.007858012413843977,0.0,0.0,2.2942500000000003
1,hk,hk_insurance_industrial_zero_overlap,1995.0,102.0,0.05112781954887218,0.6247630589478264,0.09711381594712716,0.047471488739385746,0.1946352748866863,0.0059567159194727146,0.0,0.0,2.151470588235294
1,jp,jp_etf_style_zero_overlap,1959.0,109.0,0.055640632976008166,0.6621671212496901,0.11798406237510517,0.051577796527818576,0.2153213010669739,0.00804868038627554,0.0,0.0,2.842585658116458
1,jp,jp_financial_domestic_zero_overlap,1976.0,100.0,0.05060728744939271,0.6312500000000001,0.10327874556455888,0.04701215095507632,0.1928449964561576,0.0030743705514417793,0.0,0.0,2.794343434343434
1,tw,tw_income_factor_zero_overlap,804.0,52.0,0.06467661691542288,0.6238620090016367,0.11023607637178139,0.05969388869186178,0.23552339062552688,0.017164849212847243,0.0,0.0,1.9088319088319088
1,tw,tw_supply_chain_zero_overlap,1358.0,77.0,0.05670103092783505,0.6245070308302159,0.08943857343123945,0.05354276107460918,0.2272992957775996,0.008492487565790968,0.0,0.0,2.3342245989304815
1,us,us_defensive_income_zero_overlap,2042.0,106.0,0.05190989226248776,0.6436169694370809,0.14083303157882476,0.04756939952430554,0.21171031977021693,0.004278290673494415,0.6,0.02830188679245283,2.349286700414174
1,us,us_midcap_sector_zero_overlap,2042.0,104.0,0.050930460333006855,0.7008117011986981,0.1290616742362606,0.04646507705214356,0.18835643403761526,0.0037837165712947727,1.0,0.009615384615384616,2.4902439024390244
5,cn,cn_consumption_resource_zero_overlap,1955.0,90.0,0.04603580562659847,0.5558296097706285,0.06692931662659919,0.04379008406546777,0.18714818643774422,0.007750054313557974,0.0,0.0,1.9948979591836735
5,cn,cn_state_resource_zero_overlap,1955.0,106.0,0.05421994884910486,0.5827601865363226,0.07055813219116192,0.051244107818332336,0.20972322930026394,0.006790850776675056,0.0,0.0,1.411484405082788
5,hk,hk_cross_asset_zero_overlap,1987.0,117.0,0.058882737795671866,0.5884661090543443,0.10421803162382831,0.05422486793257293,0.2168560362154886,0.005548264171724991,0.0,0.0,2.1335309023751234
5,hk,hk_insurance_industrial_zero_overlap,1987.0,114.0,0.05737292400603926,0.5935805209767612,0.10252613570086178,0.05291625545590141,0.21262295439096424,0.003835243957155781,0.0,0.0,1.8393282200476064
5,jp,jp_etf_style_zero_overlap,1951.0,123.0,0.06304459251665813,0.6357385565102915,0.10443256454879209,0.058217750112106136,0.25404992039208696,0.012119866540175207,0.0,0.0,2.1850423096067693
5,jp,jp_financial_domestic_zero_overlap,1968.0,117.0,0.05945121951219512,0.6315874533054435,0.09859403159701423,0.055061702206776315,0.21892910134744625,0.007432154338090334,0.0,0.0,1.8784329038136145
5,tw,tw_income_factor_zero_overlap,796.0,51.0,0.06407035175879397,0.6339649953941309,0.09330324726004317,0.059910966991935086,0.23580209251080486,0.012397308022727985,0.0,0.0,1.1705882352941177
5,tw,tw_supply_chain_zero_overlap,1350.0,87.0,0.06444444444444444,0.6095412309680474,0.08450358743989772,0.06026056578828464,0.23665517842699477,0.014647408902411679,0.0,0.0,2.5287356321839085
5,us,us_defensive_income_zero_overlap,2034.0,117.0,0.05752212389380531,0.6578945021824522,0.10438396489707832,0.053375392069828616,0.2302135063666441,0.003986897066266339,0.0,0.0,2.130467571644042
5,us,us_midcap_sector_zero_overlap,2034.0,111.0,0.05457227138643068,0.6474750881927169,0.09939110866250442,0.05086249730854019,0.20551363169188624,0.007752139837456152,0.0,0.0,2.0659777424483305
